AVAPS-T06 STA 231221570 240818 113818.57
AVAPS-T06 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T06 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T06 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T06 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D06 P10 231221570 240818 113845.50 9999.00  99.00 999.00 176.42 245.19  -0.13  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113845.75  873.39  24.67  20.69 176.40 245.22  -0.20  -27.494472  12.077974 99999.00  13  20.69 999.00  13  0.13 13318.00
AVAPS-D06 P10 231221570 240818 113846.00 9999.00  99.00 999.00 176.37 245.20  -0.19  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113846.25  873.24  24.67  20.71 176.34 245.22  -0.17  -27.494543  12.079077 99999.00  13  20.71 999.00  13  0.12 13317.93
AVAPS-D06 P10 231221570 240818 113846.50 9999.00  99.00 999.00 176.32 245.23  -0.18  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.12 99999.00
AVAPS-D06 P00 231221570 240818 113846.75  873.31  24.67  20.70 176.29 245.22  -0.14  -27.494616  12.080181 99999.00  13  20.70 999.00  13  0.12 13317.91
AVAPS-D06 P10 231221570 240818 113847.00 9999.00  99.00 999.00 176.26 245.23  -0.13  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113847.25  873.22  24.67  20.71 176.23 245.23  -0.09  -27.494689  12.081285 99999.00  13  20.71 999.00  13  0.13 13317.90
AVAPS-D06 P10 231221570 240818 113847.50 9999.00  99.00 999.00 176.20 245.22  -0.06  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113847.75  873.20  24.67  20.69 176.18 245.23  -0.07  -27.494764  12.082388 99999.00  13  20.69 999.00  13  0.13 13317.89
AVAPS-D06 P10 231221570 240818 113848.00 9999.00  99.00 999.00 176.15 245.22  -0.05  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113848.25  873.26  24.68  20.68 176.11 245.25  -0.08  -27.494839  12.083492 99999.00  13  20.68 999.00  13  0.13 13317.90
AVAPS-D06 P10 231221570 240818 113848.50 9999.00  99.00 999.00 176.09 245.25  -0.07  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113848.75  873.24  24.68  20.70 176.07 245.25  -0.05  -27.494916  12.084596 99999.00  13  20.70 999.00  13  0.13 13317.91
AVAPS-D06 P10 231221570 240818 113849.00 9999.00  99.00 999.00 176.04 245.26  -0.05  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113849.25  873.32  24.68  20.67 176.02 245.24  -0.00  -27.494994  12.085699 99999.00  13  20.67 999.00  13  0.13 13317.94
AVAPS-D06 P10 231221570 240818 113849.50 9999.00  99.00 999.00 175.99 245.25  -0.01  999.000000  99.000000 99999.00  13 999.00 999.00  13  0.13 99999.00
AVAPS-D06 P00 231221570 240818 113849.75  873.23  24.68  20.68 175.96 245.24  -0.01  -27.495072  12.086803 99999.00  13  20.68 999.00  13  0.13 13317.97
