FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-22 15:13:58.500Z,5,5,3,147,0,5,942.44043,27.209583,18.614271,32.606091,4.466926,1.313593,28.023019,305.495541,317.014556,-999,-999,0,5,213.2,192.79,105.564714,161.319792,0.19,9.1,9292.02,192.79,33.2,11,3,51659,0,-58.575986,13.846202,0.87,1.13,18303,0,0,0,0,0,0,0,0,0,0,4104,0,20087,4,0,47,25002,0,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:58.750Z,5.25,5,3,147,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,5.25,213.21,192.81,105.603822,161.318098,0.16,9.17,9294.44,192.81,33.21,11,3,26897,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:59.000Z,5.5,5.5,3,148,0,5.5,942.360535,27.081682,17.030033,32.693432,4.053832,-0.022774,27.819885,305.372857,315.80896,-999,-999,0,5.5,213.25,192.78,105.699969,161.219245,0.15,9.23,9296.87,192.78,33.25,11,3,63498,0,-58.575499,13.84693,1.22,1.57,17810,0,0,0,0,0,0,0,0,0,0,4104,0,20081,4,0,47,63629,0,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:59.250Z,5.75,5.5,3,148,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,5.75,213.28,192.77,105.778881,161.155519,0.15,9.14,9299.14,192.77,33.28,11,3,47679,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.058,27.7351,16690,2716,0
Data,2020-01-22 15:13:59.500Z,6,6,3,149,0,6,942.25,26.989237,16.123566,32.764111,3.816254,-0.848454,27.684128,305.28907,315.104212,-999,-999,0,6,213.31,192.78,105.868739,161.108468,0.15,9.18,9301.32,192.78,33.31,11,3,12888,0,-58.57501,13.847657,1.37,1.77,25835,0,0,0,0,0,0,0,0,0,0,4104,0,20069,4,0,46,36684,0,192510289,0,6.065,27.7351,16690,24288,0
Data,2020-01-22 15:13:59.750Z,6.25,6,3,149,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6.25,213.34,192.78,105.953081,161.053013,0.14,9.1,9303.49,192.78,33.34,11,3,7820,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.065,27.7351,16690,24288,0
Data,2020-01-22 15:14:00.000Z,6.5,6.5,3,150,0,6.5,942.139771,26.847,17.104401,32.825302,4.01642,-0.152856,27.577845,305.154603,315.493609,-999,-999,0,6.5,213.36,192.78,106.009293,161.016019,0.14,9.17,9305.69,192.78,33.36,11,3,61917,0,-58.574521,13.848383,1.34,1.72,36256,0,0,0,0,0,0,0,0,0,0,4104,0,20066,4,0,46,41501,0,192510289,0,5.955,27.7351,16690,9647,0
Data,2020-01-22 15:14:00.250Z,6.75,6.5,3,150,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6.75,213.39,192.8,106.104592,160.977189,0.14,9.13,9307.88,192.8,33.39,11,3,22422,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,5.955,27.7351,16690,9647,0
Data,2020-01-22 15:14:00.500Z,7,7,3,151,0,7,941.963257,26.785295,17.003356,32.889423,3.978718,-0.284341,27.509159,305.108187,315.349114,-999,-999,0,7,213.41,192.81,106.166284,160.948489,0.14,9.1,9310.04,192.81,33.41,11,3,17222,0,-58.574031,13.849109,1.3,1.68,54048,0,0,0,0,0,0,0,0,0,0,4104,0,20073,4,0,47,39955,0,192510289,0,6.045,27.76939,16690,4225,0
Data,2020-01-22 15:14:00.750Z,7.25,7,3,151,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,7.25,213.44,192.77,106.228499,160.8595,0.14,9.12,9312.24,192.77,33.44,11,3,9764,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.045,27.76939,16690,4225,0
Data,2020-01-22 15:14:01.000Z,7.5,7.5,3,152,0,7.5,942.007507,26.780626,17.268371,32.95224,4.039824,-0.075311,27.51555,305.099339,315.500062,-999,-999,0,7.5,213.47,192.81,106.334771,160.837224,0.14,9.08,9314.45,192.81,33.47,11,3,30362,0,-58.57354,13.849835,1.22,1.57,58735,0,0,0,0,0,0,0,0,0,0,4104,0,20071,4,0,46,59297,0,192510289,0,6.045,27.76939,16690,4225,0
Data,2020-01-22 15:14:01.250Z,7.75,7.5,3,152,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,7.75,213.49,192.81,106.390907,160.800097,0.13,9.06,9316.64,192.81,33.49,11,3,1997,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.045,27.76939,16690,4225,0
Data,2020-01-22 15:14:01.500Z,8,8,3,153,0,8,941.830811,26.811392,17.315925,33.009933,4.059182,-0.012468,27.549899,305.147006,315.598954,-999,-999,0,8,213.52,192.82,106.480609,160.752705,0.13,9.04,9318.84,192.82,33.52,11,3,36493,0,-58.573048,13.85056,1.16,1.49,58855,0,0,0,0,0,0,0,0,0,0,4104,0,20070,4,0,46,21463,0,192510289,0,6.039,27.803698,16690,35722,0
Data,2020-01-22 15:14:01.750Z,8.25,8,3,153,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,8.25,213.55,192.82,106.564765,160.69693,0.13,9.08,9321.05,192.82,33.55,11,3,10051,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510289,0,6.039,27.803698,16690,35722,0
